Temperature (K),Pressure (bar),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
298,0,0,infinite,19.82,22.298,476.84,28.819,37.134,269.34,undefined,14.917,0.016586,vapor
298,0.01,0.00040362,2477.6,19.82,22.297,158.92,28.82,37.137,269.33,1.0942,14.917,0.016586,vapor
298,0.02,0.00080727,1238.7,19.819,22.297,153.16,28.822,37.14,269.32,1.0942,14.917,0.016587,vapor
298,0.03,0.001211,825.78,19.819,22.296,149.79,28.823,37.143,269.31,1.0942,14.917,0.016587,vapor
298,0.04,0.0016147,619.31,19.819,22.296,147.39,28.824,37.146,269.31,1.0942,14.917,0.016588,vapor
298,0.05,0.0020185,495.42,19.819,22.296,145.54,28.825,37.149,269.3,1.0942,14.917,0.016588,vapor
298,0.06,0.0024223,412.83,19.818,22.295,144.02,28.826,37.152,269.29,1.0942,14.917,0.016588,vapor
298,0.07,0.0028262,353.84,19.818,22.295,142.74,28.827,37.155,269.28,1.0942,14.917,0.016589,vapor
298,0.08,0.0032301,309.59,19.818,22.294,141.63,28.828,37.158,269.28,1.0942,14.918,0.016589,vapor
298,0.09,0.003634,275.18,19.817,22.294,140.65,28.829,37.161,269.27,1.0942,14.918,0.01659,vapor
298,0.1,0.004038,247.65,19.817,22.294,139.77,28.83,37.164,269.26,1.0942,14.918,0.01659,vapor
298,0.11,0.004442,225.12,19.817,22.293,138.98,28.831,37.167,269.25,1.0942,14.918,0.016591,vapor
298,0.12,0.004846,206.35,19.817,22.293,138.25,28.832,37.17,269.24,1.0942,14.918,0.016591,vapor
298,0.13,0.0052501,190.47,19.816,22.292,137.58,28.833,37.173,269.24,1.0942,14.918,0.016592,vapor
298,0.14,0.0056543,176.86,19.816,22.292,136.97,28.835,37.176,269.23,1.0942,14.918,0.016592,vapor
298,0.15,0.0060585,165.06,19.816,22.292,136.39,28.836,37.179,269.22,1.0942,14.918,0.016592,vapor
