,DOI,filename,Material Name,Temperature (K),Equivalent CO2 Pressure (bar),Loading Estimate,Loading Units
0,10.1002/adfm.201101479,10.1002adfm.201101479.Isotherm13,Zn(BDC)(DMBPY) 0.5,288,0.00039169932885906044,0.004396782798505759,wt%
1,10.1002/adfm.201101479,10.1002adfm.201101479.Isotherm14,Zn(BDC)(DMBPY) 0.5,298,0.00040530000000000004,0.0015667002826212056,wt%
2,10.1002/adfm.201101479,10.1002adfm.201101479.Isotherm15,Zn(BDC)(DMBPY) 0.5,303,0.00041210033557046984,0.0009340980703698181,wt%
3,10.1002/adfm.201101479,10.1002adfm.201101479.Isotherm16,Zn(BDC)(DMBPY) 0.5,308,0.00041890067114093963,0.0006385104038903775,wt%
4,10.1002/adfm.201101479,10.1002adfm.201101479.Isotherm17,Zn(NDC)(DMBPY) 0.5,288,0.00039169932885906044,0.0012085256090980118,wt%
5,10.1002/adfm.201101479,10.1002adfm.201101479.Isotherm18,Zn(NDC)(DMBPY) 0.5,298,0.00040530000000000004,0.00045347555724252616,wt%
6,10.1002/adfm.201101479,10.1002adfm.201101479.Isotherm19,Zn(BDC)(BPY) 0.5,288,0.00039169932885906044,0.0017204855338928367,wt%
7,10.1002/adfm.201101479,10.1002adfm.201101479.Isotherm20,Zn(BDC)(BPY) 0.5,298,0.00040530000000000004,0.000308123073932028,wt%
8,10.1002/adfm.201101479,10.1002adfm.201101479.Isotherm21,Zn(NDC)(BPY) 0.5,288,0.00039169932885906044,0.0032864039048200126,wt%
9,10.1002/adfm.201101479,10.1002adfm.201101479.Isotherm22,Zn(NDC)(BPY) 0.5,298,0.00040530000000000004,0.0020779027070962682,wt%
10,10.1002/adfm.201101479,10.1002adfm.201101479.Isotherm5,Zn(BDC)(DMBPY) 0.5,273,0.00037129832214765105,0.00579537773484715,wt%
11,10.1002/adfm.201101479,10.1002adfm.201101479.Isotherm6,Zn(NDC)(BPY) 0.5,273,0.00037129832214765105,0.0041857039408028885,wt%
12,10.1002/adfm.201101479,10.1002adfm.201101479.Isotherm7,Zn(BDC)(BPY) 0.5,273,0.00037129832214765105,0.00116609619087514,wt%
13,10.1002/adfm.201101479,10.1002adfm.201101479.Isotherm8,Zn(NDC)(DMBPY) 0.5,273,0.00037129832214765105,0.0014548442846352976,wt%
14,10.1002/adfm.201200084,10.1002adfm.201200084.Isotherm1,NH2-MIL-53(Al),273,0.00037129832214765105,0.0003112923300733861,mmol/g
15,10.1002/adfm.201200084,10.1002adfm.201200084.Isotherm5,NH2-MIL-53(Al),298,0.00040530000000000004,5.3578877183647036e-05,mmol/g
16,10.1002/adfm.201300071,10.1002adfm.201300071.isotherm10,CCT1,273,0.00037129832214765105,0.0026415461646717158,mmol/g
17,10.1002/adfm.201300071,10.1002adfm.201300071.isotherm11,CCT1,273,0.00037129832214765105,0.001687505499711891,mmol/g
18,10.1002/adfm.201300071,10.1002adfm.201300071.isotherm12,CT,273,0.00037129832214765105,0.0015750026534210582,mmol/g
19,10.1002/adfm.201300071,10.1002adfm.201300071.isotherm13,CCT1,273,0.00037129832214765105,0.002972173730197616,mmol/g
20,10.1002/adfm.201300071,10.1002adfm.201300071.isotherm14,CCT1,273,0.00037129832214765105,0.002972173730197616,mmol/g
21,10.1002/adfm.201300071,10.1002adfm.201300071.isotherm15,CCT1,273,0.00037129832214765105,0.00042258083169034575,mmol/g
22,10.1002/adfm.201300071,10.1002adfm.201300071.isotherm16,CCT1,273,0.00037129832214765105,0.00024378169099962077,mmol/g
