,DOI,filename,Material Name,Temperature (K),Equivalent CO2 Pressure (bar),Loading Estimate,Loading Units
104,10.1002/aic.690470520,10.1002aic.690470520.Isotherm1,Zeolite 13X,293,0.00039849966442953024,0.5207858926519937,mmol/g
105,10.1002/aic.690470520,10.1002aic.690470520.Isotherm6,Zeolite 13X,293,0.00039849966442953024,0.5234705504486842,mmol/g
649,10.1016/j.apsusc.2009.12.090,10.1016j.apsusc.2009.12.090.isotherm2,Zeolite 4A,298,0.00040530000000000004,0.5378615837962336,mmol/g
791,10.1016/j.cej.2012.04.071,10.1016j.cej.2012.04.071.isotherm3,Cr-MIL(101),288,0.00039169932885906044,0.5937873618580602,mmol/g
934,10.1016/j.colsurfa.2015.09.020,10.1016j.colsurfa.2015.09.020.Isotherm3,AlK-10,318,0.00043250134228187923,0.501116575474698,mmol/g
1338,10.1016/j.micromeso.2004.07.035,10.1016j.micromeso.2004.07.035.isotherm11,Zeolite 13X,295,0.00040121979865771816,0.8809045017962225,mmol/g
1411,10.1016/j.micromeso.2010.11.017,10.1016j.micromeso.2010.11.017.Isotherm13,3Inf[(Cu(mu4-O)(mu2-OH)2(Me2trzpba)4],273,0.00037129832214765105,0.6198917329486394,mmol/g
1543,10.1016/j.micromeso.2013.12.005,10.1016j.micromeso.2013.12.005.Isotherm6,Zeolite 13X,273,0.00037129832214765105,0.8096983225227298,mmol/g
1591,10.1016/j.micromeso.2015.05.025,10.1016j.micromeso.2015.05.025.Isotherm4,PEI-MonoSil,298,0.00040530000000000004,0.6601163351351351,mmol/g
1651,10.1016/j.seppur.2014.08.021,10.1016j.seppur.2014.08.021.Isotherm3,Norit R1 Extra,298,0.00040530000000000004,0.8392909846746804,mmol/g
1726,10.1016/S0169-4332(02)00052-1,10.1016S0169-4332(02)00052-1.isotherm2,Zeolite FAU-I,298,0.00040530000000000004,0.6221351043657838,mmol/g
2872,10.1021/Je1002225,10.1021Je1002225.isotherm7,Zeolite 13X,293,0.00039849966442953024,0.5083908784061871,mmol/g
2878,10.1021/Je800900a,10.1021Je800900a.Isotherm27,Zeolite 13X,273,0.00037129832214765105,0.5303944204028153,mmol/g
2890,10.1021/Je800900a,10.1021Je800900a.Isotherm5,Zeolite 5A,273,0.00037129832214765105,0.6647934151776145,mmol/g
2891,10.1021/Je800900a,10.1021Je800900a.Isotherm6,Zeolite 5A,273,0.00037129832214765105,0.6397528814826217,mmol/g
3136,10.1021/jp304631m,10.1021jp304631m.Isotherm1,Polyimide Film,298,0.00040530000000000004,0.9054103483606558,mmol/g
3137,10.1021/jp304631m,10.1021jp304631m.Isotherm10,Cu-hfipbb,323,0.0004393016778523491,0.6791213173550004,mmol/g
3138,10.1021/jp304631m,10.1021jp304631m.Isotherm11,Cu-hfipbb,323,0.0004393016778523491,0.7107659727188543,mmol/g
3139,10.1021/jp304631m,10.1021jp304631m.Isotherm14,Cu-hfipbb,298,0.00040530000000000004,0.8128185792349727,mmol/g
3140,10.1021/jp304631m,10.1021jp304631m.Isotherm2,Polyimide Film,298,0.00040530000000000004,0.90585256147541,mmol/g
3142,10.1021/jp304631m,10.1021jp304631m.Isotherm28,ZIF-90,323,0.0004393016778523491,0.9909779226145735,mmol/g
3143,10.1021/jp304631m,10.1021jp304631m.Isotherm3,Polyimide Film,315,0.0004284211409395974,0.6667954016033023,mmol/g
3144,10.1021/jp304631m,10.1021jp304631m.Isotherm4,Polyimide Film,315,0.0004284211409395974,0.6867677038536789,mmol/g
3145,10.1021/jp304631m,10.1021jp304631m.Isotherm7,Cu-hfipbb,298,0.00040530000000000004,0.8164225261344739,mmol/g
3146,10.1021/jp304631m,10.1021jp304631m.Isotherm8,Cu-hfipbb,303,0.00041210033557046984,0.7381702052754209,mmol/g
3147,10.1021/jp304631m,10.1021jp304631m.Isotherm9,Cu-hfipbb,303,0.00041210033557046984,0.8020539000160374,mmol/g
3891,10.1021/La800555x,10.1021La800555x.isotherm3,Zn2(NDC)2(DPNI),296,0.0004025798657718121,0.7021756901699554,mmol/g
3904,10.1021/La803074g,10.1021La803074g.isotherm5a,IRMOF-1,300,0.00040802013422818796,0.692308,mmol/g
4561,10.1039/c2ee23337a,10.1039c2ee23337a.ISOTHERM18,Ca-A,298,0.00040530000000000004,0.5838681186051617,mmol/g
4562,10.1039/c2ee23337a,10.1039c2ee23337a.ISOTHERM19,Ca-A,313,0.0004257010067114095,0.9784657769736143,mmol/g
5063,10.1039/c4ee02717e,10.1039c4ee02717e.Isotherm2,[CoIICoIII(OH)Cl2(bbta)],298,0.00040530000000000004,0.6531597525773196,mmol/g
5165,10.1039/c5cc04487a,10.1039c5cc04487a.Isotherm2,SIFSIX-3-Ni,298,0.00040530000000000004,0.6144987696335079,mmol/g
5265,10.1039/c5dt03137k,10.1039c5dt03137k.Isotherm11,CPO-27-Mg-c,298,0.00040530000000000004,0.6876710165184244,mmol/g
5312,10.1039/c5ta01776a,10.1039c5ta01776a.Isotherm13,SNS2-20,273,0.00037129832214765105,0.8989964311527008,mmol/g
5322,10.1039/c5ta02357b,10.1039c5ta02357b.Isotherm12,mmen-Mg2(dondc),313,0.0004257010067114095,0.55210674112362,mmol/g
