,DOI,filename,Material Name,Temperature (K),Equivalent CO2 Pressure (bar),Loading Estimate,Loading Units
851,10.1016/j.ces.2014.10.028,10.1016j.ces.2014.10.028.Isotherm4,NH2-MIL-53(Al),298,0.00040530000000000004,1.299829095224712,mmol/g
1542,10.1016/j.micromeso.2013.12.005,10.1016j.micromeso.2013.12.005.Isotherm5,Zeolite 13X,273,0.00037129832214765105,1.4167711208444684,mmol/g
1593,10.1016/j.micromeso.2015.05.025,10.1016j.micromeso.2015.05.025.Isotherm8,PEI-MonoSil,298,0.00040530000000000004,1.0808855681034484,mmol/g
1594,10.1016/j.micromeso.2015.05.025,10.1016j.micromeso.2015.05.025.Isotherm9,PEI-MonoSil,313,0.0004257010067114095,1.253515109520076,mmol/g
1989,10.1021/acs.jpcc.7b08239,10.1021acs.jpcc.7b08239.Isotherm5,tpt-Mg-MOF-74 (cross),298,0.00040530000000000004,1.1569038265306124,mmol/g
3141,10.1021/jp304631m,10.1021jp304631m.Isotherm27,ZIF-90,303,0.00041210033557046984,1.4963132578204332,mmol/g
3467,10.1021/jp512870p,10.1021jp512870p.Isotherm5,ELM-11,273,0.00037129832214765105,1.3247967523179867,mmol/g
3922,10.1021/La9026656,10.1021La9026656.Isotherm11,LTA-2,273,0.00037129832214765105,1.1372210236252323,mmol/g
4300,10.1039/c1ee01380g,10.1039c1ee01380g.Isotherm2,CAU-1,273,0.00037129832214765105,1.2848818125388577,mmol/g
5163,10.1039/c5cc04487a,10.1039c5cc04487a.Isotherm1,SIFSIX-3-Ni,273,0.00037129832214765105,1.4966951792211232,mmol/g
