,DOI,filename,Material Name,Temperature (K),Equivalent CO2 Pressure (bar),Loading Estimate,Loading Units
661,10.1016/j.apsusc.2017.06.143,10.1016j.apsusc.2017.06.143.Isotherm14,coal with sulfoxide functional groups,298,0.00040530000000000004,1.6286414029257643,mmol/g
1457,10.1016/j.micromeso.2012.04.042,10.1016j.micromeso.2012.04.042.Isotherm1,Mg2(dobdc),313,0.0004257010067114095,1.5495089354010092,mmol/g
1508,10.1016/j.micromeso.2013.03.015,10.1016j.micromeso.2013.03.015.Isotherm1,CuBTC,318,0.00043250134228187923,2.4034715437937155,mmol/g
1713,10.1016/s0166-5162(02)00078-2,10.1016s0166516202000782.Isotherm43,Joppe-I IX coal (moist),313,0.0004257010067114095,2.387615211216069,mmol/g
1714,10.1016/s0166-5162(02)00078-2,10.1016s0166516202000782.Isotherm44,Joppe-I IV coal (moist),313,0.0004257010067114095,2.387637637043038,mmol/g
1715,10.1016/s0166-5162(02)00078-2,10.1016s0166516202000782.Isotherm45,Hengevelde-I VI coal (moist),313,0.0004257010067114095,2.403108660035221,mmol/g
3191,10.1021/Jp3062527,10.1021Jp3062527.Isotherm1-1,Mg-MOF-74,298,0.00040530000000000004,4.047808985498298,mmol/g
5270,10.1039/c5dt03137k,10.1039c5dt03137k.Isotherm2,CPO-27-Mg-a,298,0.00040530000000000004,1.6981645539568346,mmol/g
5443,10.1080/08927022.2011.602974,10.108008927022.2011.602974.Isotherm16,Mg-Rho-ZMOF,298,0.00040530000000000004,2.276848635087291,mmol/g
5444,10.1080/08927022.2011.602974,10.108008927022.2011.602974.Isotherm17,Sr-Rho-ZMOF,298,0.00040530000000000004,1.7380231271428384,mmol/g
5445,10.1080/08927022.2011.602974,10.108008927022.2011.602974.Isotherm18,Al-Rho-ZMOF,298,0.00040530000000000004,2.245361369844505,mmol/g
