,DOI,filename,Material Name,Temperature (K),Equivalent CO2 Pressure (bar),Loading Estimate,Loading Units
0,10.1002/adfm.201101479,10.1002adfm.201101479.Isotherm13,Zn(BDC)(DMBPY) 0.5,288,0.00039169932885906044,0.004396782798505759,wt%
1,10.1002/adfm.201101479,10.1002adfm.201101479.Isotherm14,Zn(BDC)(DMBPY) 0.5,298,0.00040530000000000004,0.0015667002826212056,wt%
2,10.1002/adfm.201101479,10.1002adfm.201101479.Isotherm15,Zn(BDC)(DMBPY) 0.5,303,0.00041210033557046984,0.0009340980703698181,wt%
3,10.1002/adfm.201101479,10.1002adfm.201101479.Isotherm16,Zn(BDC)(DMBPY) 0.5,308,0.00041890067114093963,0.0006385104038903775,wt%
4,10.1002/adfm.201101479,10.1002adfm.201101479.Isotherm17,Zn(NDC)(DMBPY) 0.5,288,0.00039169932885906044,0.0012085256090980118,wt%
5,10.1002/adfm.201101479,10.1002adfm.201101479.Isotherm18,Zn(NDC)(DMBPY) 0.5,298,0.00040530000000000004,0.00045347555724252616,wt%
6,10.1002/adfm.201101479,10.1002adfm.201101479.Isotherm19,Zn(BDC)(BPY) 0.5,288,0.00039169932885906044,0.0017204855338928367,wt%
7,10.1002/adfm.201101479,10.1002adfm.201101479.Isotherm20,Zn(BDC)(BPY) 0.5,298,0.00040530000000000004,0.000308123073932028,wt%
8,10.1002/adfm.201101479,10.1002adfm.201101479.Isotherm21,Zn(NDC)(BPY) 0.5,288,0.00039169932885906044,0.0032864039048200126,wt%
9,10.1002/adfm.201101479,10.1002adfm.201101479.Isotherm22,Zn(NDC)(BPY) 0.5,298,0.00040530000000000004,0.0020779027070962682,wt%
10,10.1002/adfm.201101479,10.1002adfm.201101479.Isotherm5,Zn(BDC)(DMBPY) 0.5,273,0.00037129832214765105,0.00579537773484715,wt%
11,10.1002/adfm.201101479,10.1002adfm.201101479.Isotherm6,Zn(NDC)(BPY) 0.5,273,0.00037129832214765105,0.0041857039408028885,wt%
12,10.1002/adfm.201101479,10.1002adfm.201101479.Isotherm7,Zn(BDC)(BPY) 0.5,273,0.00037129832214765105,0.00116609619087514,wt%
13,10.1002/adfm.201101479,10.1002adfm.201101479.Isotherm8,Zn(NDC)(DMBPY) 0.5,273,0.00037129832214765105,0.0014548442846352976,wt%
114,10.1002/anie.200902836,10.1002anie.200902836.isotherm15,SNU-M11,298,0.00040530000000000004,0.00021529169913777518,wt%
117,10.1002/anie.200902836,10.1002anie.200902836.isotherm9,SNU-M10,298,0.00040530000000000004,0.005462577623778458,wt%
137,10.1002/anie.201106615,10.1002anie.201106615.isotherm6,PCN-80,273,0.00037129832214765105,0.008303360312296747,wt%
138,10.1002/anie.201106615,10.1002anie.201106615.isotherm7,PCN-80,296,0.0004025798657718121,0.006271723871035015,wt%
139,10.1002/anie.201201202,10.1002anie.201201202.isotherm1,Rht-MOF-4a,273,0.00037129832214765105,0.010059538014679712,wt%
140,10.1002/anie.201201202,10.1002anie.201201202.isotherm2,Rht-MOF-4a,298,0.00040530000000000004,0.0004135481399178949,wt%
141,10.1002/anie.201203929,10.1002anie.201203929.isotherm2,[Zn(Gly-Thr)2]*CH3OH,273,0.00037129832214765105,0.001673604319982207,wt%
142,10.1002/anie.201203929,10.1002anie.201203929.isotherm3,[Zn(Gly-Thr)2]*CH3OH,273,0.00037129832214765105,0.0002984886582953757,wt%
143,10.1002/anie.201203929,10.1002anie.201203929.isotherm4,[Zn(Gly-Thr)2]*CH3OH,273,0.00037129832214765105,0.002215886146494428,wt%
